therapy,"https://www.verywellhealth.com/thmb/31tQWn6Kqlm3VjpyRDdJlWIVFFo=/2000x1333/filters:fill(87E3EF,1)/GettyImages-1132546119-acb13df1c18a480590ea6fb656cd5bea.jpg","""Pre-Occupational Therapy Club""","""The pre-occupational therapy club is for students who are planning to attend graduate school for occupational therapy. Meetings include application workshops, service activities, meeting real occupational therapists and asking them questions about their work, and actually touring and visiting graduate schools.""","""Application Link: """,https://www.usu.edu/involvement/clubs/preoccupationaltherapy
amsa,https://i.pinimg.com/originals/fa/cd/b5/facdb5238be018df3ef022c6f2047055.jpg,"""American Medical Student Association (AMSA)""","""The American Medical Student Association (AMSA) is the oldest and largest national organization of physicians-in-training in the US. Our chapter strives to give Pre-Med students the best opportunities to become competitive applicants while cultivating strong community leaders.""","""Application Link: """,https://www.usu.edu/involvement/clubs/amsa
cadaver,https://bloximages.chicago2.vip.townnews.com/tdn.com/content/tncms/assets/v3/editorial/3/9d/39da4d8b-57b3-5f99-85c7-7e66d46128c3/5dab6d9ebf562.image.jpg?resize=1200%2C771,"""Cadaver Lab Tour Club""","""Members of this club assist Dr. Andy Anderson in giving tours of the Cadaver Lab to visiting groups of students. During tours, club members will guide small groups of visitors through the various anatomical systems displayed and help them to have an enjoyable experience learning about the human body.""","""Application Link: """,https://www.usu.edu/involvement/clubs/cadavertour
hosa,http://charlestonempowered.com/wp-content/uploads/2015/03/HOSA-Rebrand-Logo-Standard-med-res-845x321.jpg,"""HOSA""","""HOSA-Future Health Professionals is an international organization that helps students become leaders in the global health community through education, collaboration, and experience. Activities such as guest speakers and internship opportunities are available through HOSA.""","""Application Link: """,https://www.usu.edu/involvement/clubs/hosa
neuro,https://scontent-den4-1.xx.fbcdn.net/v/t1.18169-9/fr/cp0/e15/q65/1959504_747158911971349_778462380_n.jpg?_nc_cat=110&ccb=1-5&_nc_sid=85a577&_nc_ohc=yNDgK8atBk0AX9ceyys&_nc_ht=scontent-den4-1.xx&oh=3573952b3a2f5a8d0278ca9e11d37f07&oe=61D5D95A,"""Neuroscience Club""","""USUSA Neuroscience Club's aim is to increase understanding of Neuroscience on USU campus around the community. Provide opportunities for students to become more familiar with professionals in the field and how they can get involved with related research around campus.""","""Application Link: """,https://www.usu.edu/involvement/clubs/neuroscience
dental,https://images.pexels.com/photos/287227/pexels-photo-287227.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,"""Pre-Dental Club""","""To provide opportunities for students of Utah State University to explore, be exposed to, and learn about careers in dentistry and dental hygiene through various service projects, shadowing opportunities, workshops, and information sessions with dental school representatives. ""","""Application Link: """,https://www.usu.edu/involvement/clubs/predentalclub
pmed,https://scontent-den4-1.xx.fbcdn.net/v/t31.18172-8/17212063_1483266365017604_5398697882377053880_o.jpg?_nc_cat=103&ccb=1-5&_nc_sid=973b4a&_nc_ohc=WB2VSvsQglgAX-GLyXv&_nc_ht=scontent-den4-1.xx&oh=4ea3380550882e8d560a8c11e9cf239d&oe=61D542C4,"""Pre-Med Club""","“Students who are interested in medical school, this is where you want to be! The Pre-Med Club helps students obtain meaning experiences that can go on their applications and to successfully matriculate into medical school.""","""Application Link: """,https://www.usu.edu/involvement/clubs/premedclub
physass,https://ak.picdn.net/shutterstock/videos/1041654343/thumb/5.jpg,"""Pre-Physician Assistant Club""","""The Pre-PA Club is an official USUSA club at Utah State that has a goal to educate and unite students who are interested in pursing a career as a Physicians Assistant. We do this by planning events of service and informative sessions lead by medical professionals in the community and advanced students.""","""Application Link: """,https://www.usu.edu/involvement/clubs/prepaclub
shed,https://ak.picdn.net/shutterstock/videos/1041654343/thumb/5.jpg,"""Spanish Healthcare Club""","""The purpose of the Spanish Healthcare Club is to provide service and health care opportunities to those members of our community whose native tongue is the Spanish language. The Latin and Spanish communities will be the focus of the opportunities in order to help students gain a deeper understanding of the diversity of culture in healthcare.""","""Application Link: """,https://www.usu.edu/involvement/clubs/spanishhealthcare
diet,https://images.pexels.com/photos/1105166/pexels-photo-1105166.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,"""Dietetic Student Association""","""The Dietetic Student Association provides an opportunity for anyone interested in nutrition to network with students and professionals while learning about jobs and internships, earning hours towards program and internship application requirements, and participating in fun nutrition-related activities. ""","""Application Link: """,https://www.usu.edu/involvement/clubs/dieteticstudentassociation
milpsych,https://ak.picdn.net/shutterstock/videos/1041654343/thumb/5.jpg,"""Military Psychology Club""","""The USUSA Military Psychology Club is for those interested in psychology research and/or clinical practice with military populations. It is a great opportunity to network with those in the field, learn about career/funding opportunities, and get involved.""","""Application Link: """,https://www.usu.edu/involvement/clubs/militarypsychology
mcat,https://images.pexels.com/photos/3380743/pexels-photo-3380743.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,"""MCAT Club""",""" The MCAT Club is dedicated to helping students learn about and prepare for the Medical College Admissions Test, an exam necessary for entrance into medical school. We provide discounted resources from our partners at Blueprint MCAT, hold a weekly MCAT podcast, and host events where students can socialize, study, and learn of key pre-med opportunities.""","""Application Link: """,https://www.usu.edu/involvement/clubs/mcatclub
mftsa,https://www.liberty.edu/online/wp-content/uploads/MA-Marriage-and-Family-Therapy-Online-1024x418.jpg,"""Marriage and Family Therapy Student Association""","""The MFTSA is comprised of undergraduate and graduate students who are interested in promoting and learning about marriage and family therapy. Activities include learning more about the field of MFT, learning about graduate programs and the application processes, promoting the USU Marriage and Family Therapy Clinic, and raising awareness about marriage and family therapy at USU and in the community.""","""Application Link: """,https://www.usu.edu/involvement/clubs/mftsa
