pcab,https://usustatesman.com/wp-content/uploads/2021/04/webp.net-resizeimage-19.jpg,"""President's Cabinet""","""Work on initiatives set by and with the USUSA President. Its function/form is different from year-to-year.""","""Application Link: """,https://usu.co1.qualtrics.com/jfe/form/SV_0vssECtz4E3oGii,
fees,https://usustatesman.com/wp-content/uploads/2021/01/webp.net-resizeimage-8-1050x709.jpg,"""Student Fee Board""","""Advisory board to the University President and chaired by the USUSA Executive VP. Decides on student fees. Receives presentations, discusses, reviews, & votes on whether or not to recommend a change in student fees. Applications usually open up towards the end of September.""","""Website: """,https://www.usu.edu/student-affairs/student-fees,
grc,https://usustatesman.com/wp-content/uploads/2014/09/GRC_VoterRegistration.jpg,"""Government Relations Council (GRC)""","""Advocate for student interest to state & local officials & raise awareness of civic issues on campus. Plans Gripe Night, Voter Registration, & Aggie Ice Cream Day on the Hill.""","""Application Link: """,https://usu.co1.qualtrics.com/jfe/form/SV_6AtXnSBck14zsDs,
blucru,https://usustatesman.com/wp-content/uploads/2015/12/IMG_6393.jpg,"""Blue Crew""","""Assist in the marketing of events & helps set up/take down for events.""","""Application Link: """,https://usu.co1.qualtrics.com/jfe/form/SV_dh6MakKgwh0WKtU,
activity,https://usustatesman.com/wp-content/uploads/2018/10/mh-howl-2016-7-1-1050x500.jpg,"""Activities Committee""","""Plans & executes The Howl, Mardi Gras, & End of Year Bash.""","""Application Link: """,https://usu.co1.qualtrics.com/jfe/form/SV_5tnDz4KcQkIMUTk,
series,https://usustatesman.com/wp-content/uploads/2015/10/TM_Pobev.jpg,"""Series Committee""","""Plans & executes regular/recurring events that are generally more artistic like PoBev and Moonlight & Music.""","""Application Link: """,https://usu.co1.qualtrics.com/jfe/form/SV_5tnDz4KcQkIMUTk,
trad,https://usustatesman.com/wp-content/uploads/2020/09/img_9338-1-1050x700.jpg,"""Traditions Committee""","""Plans & executes Homecoming week, Mr.USU, Sweater Swap, & High Stakes Bingo.""","""Application Link: """,https://usu.co1.qualtrics.com/jfe/form/SV_5tnDz4KcQkIMUTk,
hurd,https://usustatesman.com/wp-content/uploads/2017/10/usuvsunr05-1-1050x700.jpg,"""HURD Committee""","""Spread awareness & excitement around USU athletics, plan events & initiatives that increases attendance at games, promotes HURD Premium, & focuses on supporting women’s sports.""","""Application Link: """,https://usu.co1.qualtrics.com/jfe/form/SV_cSAGzZBiW4065xQ,
council,https://usustatesman.com/wp-content/uploads/2019/01/20190109_feeboardmeeting_rimando2-1050x700.jpg,"""College Councils""","""Advocate for student interests to their college’s administration (deans & department heads), plan & execute service projects & college specific events. Each college has its own week filled with events.""","""Arts Contact: """,mailto:,ccasenator.ususa@usu.edu
council,https://usustatesman.com/wp-content/uploads/2019/01/20190109_feeboardmeeting_rimando2-1050x700.jpg,"""College Councils""","""Advocate for student interests to their college’s administration (deans & department heads), plan & execute service projects & college specific events. Each college has its own week filled with events.""","""Agriculture Contact: """,mailto:,caassenator.ususa@usu.edu
council,https://usustatesman.com/wp-content/uploads/2019/01/20190109_feeboardmeeting_rimando2-1050x700.jpg,"""College Councils""","""Advocate for student interests to their college’s administration (deans & department heads), plan & execute service projects & college specific events. Each college has its own week filled with events.""","""Engineering Contact: """,mailto:,engrsenator.ususa@usu.edu
